,output product,import requirements,value
3177,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,41
3178,Petrochemicals - 20.14/16/17/60,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,185
3179,"Dyestuffs, agro-chemicals - 20.12/20",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3180,Basic pharmaceutical products and pharmaceutical preparations,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,"2,636"
3181,Rubber and plastic products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,142
3182,"Cement, lime, plaster and articles of concrete, cement and plaster",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3183,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,28
3184,Basic iron and steel,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,5
3185,Other basic metals and casting,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,32
3186,Weapons and ammunition,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3187,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,28
3188,"Computer, electronic and optical products",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,100
3189,Electrical equipment,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,7
3190,Machinery and equipment n.e.c.,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,35
3191,"Motor vehicles, trailers and semi-trailers",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3192,Ships and boats,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3193,Air and spacecraft and related machinery,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3194,Other transport equipment - 30.2/4/9,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3195,Furniture,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3196,Other manufactured goods,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,36
3197,Repair and maintenance of ships and boats,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3198,Repair and maintenance of aircraft and spacecraft,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3199,Rest of repair; Installation - 33.11-14/17/19/20,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3200,"Electricity, transmission and distribution",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3201,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3202,Natural water; water treatment and supply services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3203,Sewerage services; sewage sludge,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3204,"Waste collection, treatment and disposal services; materials recovery services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3205,Remediation services and other waste management services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3206,Construction,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3207,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3208,"Wholesale trade services, except of motor vehicles and motorcycles",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3209,"Retail trade services, except of motor vehicles and motorcycles",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3210,Rail transport services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3211,"Land transport services and transport services via pipelines, excluding rail transport",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,13
3212,Water transport services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,3
3213,Air transport services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,7
3214,Warehousing and support services for transportation,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3215,Postal and courier services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3216,Accommodation services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3217,Food and beverage serving services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3218,Publishing services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3219,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3220,Telecommunications services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3221,"Computer programming, consultancy and related services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3222,Information services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3223,"Financial services, except insurance and pension funding",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3224,"Insurance, reinsurance and pension funding services, except compulsory social security",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3225,Services auxiliary to financial services and insurance services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3226,Real estate services on a fee or contract basis,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3227,Owner-Occupiers' Housing Services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3228,"Real estate services, excluding on a fee or contract basis and imputed rent",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3229,Legal services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3230,"Accounting, bookkeeping and auditing services; tax consulting services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3231,Services of head offices; management consulting services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,44
3232,Architectural and engineering services; technical testing and analysis services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,10
3233,Scientific research and development services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3234,Advertising and market research services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3235,"Other professional, scientific and technical services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3236,Veterinary services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3237,Rental and leasing services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3238,Employment services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3239,"Travel agency, tour operator and other reservation services and related services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3240,Security and investigation services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3241,Services to buildings and landscape,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3242,"Office administrative, office support and other business support services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,96
3243,Public administration and defence services; compulsory social security services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3244,Education services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3245,Human health services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3246,Residential Care  & Social Work Activities,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3247,"Creative, arts and entertainment services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3248,"Libraries, archives, museums and other cultural services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3249,Gambling and betting services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3250,Sports services and amusement and recreation services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3251,Services furnished by membership organisations,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3252,Repair services of computers and personal and household goods,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3253,Other personal services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3254,Services of households as employers of domestic personnel,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3255,"Products of agriculture, hunting and related services",Manufacture Of Rubber And Plastic Products,1
3256,"Products of forestry, logging and related services",Manufacture Of Rubber And Plastic Products,1
3257,Fish and other fishing products; aquaculture products; support services to fishing,Manufacture Of Rubber And Plastic Products,0
3258,Coal and lignite,Manufacture Of Rubber And Plastic Products,1
3259,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Manufacture Of Rubber And Plastic Products,12
3260,Other mining and quarrying products,Manufacture Of Rubber And Plastic Products,26
3261,Mining support services,Manufacture Of Rubber And Plastic Products,0
3262,Preserved meat and meat products,Manufacture Of Rubber And Plastic Products,0
3263,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Manufacture Of Rubber And Plastic Products,0
3264,Vegetable and animal oils and fats,Manufacture Of Rubber And Plastic Products,0
3265,Dairy products,Manufacture Of Rubber And Plastic Products,0
3266,"Grain mill products, starches and starch products",Manufacture Of Rubber And Plastic Products,0
3267,Bakery and farinaceous products,Manufacture Of Rubber And Plastic Products,0
3268,Other food products,Manufacture Of Rubber And Plastic Products,0
3269,Prepared animal feeds,Manufacture Of Rubber And Plastic Products,0
3270,Alcoholic beverages  & Tobacco products,Manufacture Of Rubber And Plastic Products,0
3271,Soft drinks,Manufacture Of Rubber And Plastic Products,0
3272,Textiles,Manufacture Of Rubber And Plastic Products,16
3273,Wearing apparel,Manufacture Of Rubber And Plastic Products,0
3274,Leather and related products,Manufacture Of Rubber And Plastic Products,0
3275,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Manufacture Of Rubber And Plastic Products,12
3276,Paper and paper products,Manufacture Of Rubber And Plastic Products,87
3277,Printing and recording services,Manufacture Of Rubber And Plastic Products,0
3278,Coke and refined petroleum products,Manufacture Of Rubber And Plastic Products,32
3279,"Paints, varnishes and similar coatings, printing ink and mastics",Manufacture Of Rubber And Plastic Products,28
3280,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture Of Rubber And Plastic Products,0
3281,Other chemical products,Manufacture Of Rubber And Plastic Products,259
3282,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Manufacture Of Rubber And Plastic Products,57
3283,Petrochemicals - 20.14/16/17/60,Manufacture Of Rubber And Plastic Products,"1,864"
